l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
l1d_mono_lat,113947034,
l1d_reads,42107119,
l1d_trail_lat,104527208,
l1d_writes,14866398,
t0_hits,9419826,
t0_reads,8980427,
t0_writes,439399,
t1_hits,88413,
t1_reads,70421,
t1_writes,17992,
t2_hits,41897,
t2_reads,35085,
t2_writes,6812,
t3_hits,47423381,
t3_reads,33021186,
t3_writes,14402195,
